""
"Year","GDP-US $ billion 2012","Population-US million","Protection - Federal $ billion 2012","","Protection -  $ billion 2012","","Protection - State $ billion 2012","","Protection - Local $ billion 2012","","Protection - Total $ billion 2012",""
"2010","15598.8","309.322","36.46","a","-7.49","a","70.10","a","163.33","a","262.39","a"
"2011","15840.7","311.557","37.05","a","-7.79","a","69.85","a","159.67","a","258.78","a"
"2012","16197","313.831","35.73","a","-7.16","a","67.28","a","157.93","a","253.78","a"
"2013","16495.4","315.994","33.47","a","-7.21","a","66.47","a","156.85","a","249.58","a"
"2014","16912","318.301","31.70","a","-6.68","a","67.55","a","158.47","a","251.05","a"
"2015","17403.8","320.635","32.45","a","-5.56","a","68.02","a","161.85","a","256.76","a"
"2016","17688.9","322.941","33.87","a","-5.64","a","68.60","a","167.07","a","263.91","a"
"2017","18108.1","324.986","34.13","a","-6.01","a","67.60","a","171.72","a","267.44","a"
"2018","18638.2","326.687","34.55","a","-5.71","a","68.35","a","172.63","e","269.83","e"
"2019","19073.1","328.240","36.71","a","-6.71","a","69.61","g","174.99","g","274.60","g"
"2020","19367.7","330.603","40.96","b","-10.71","e","70.59","g","176.83","g","277.67","g"

"Legend:"
" i - interpolated between actual reported values"
" a - actual reported"
" e - estimated by usgovernmentspending.com"
" g - 'guesstimated' projection by usgovernmentspending.com"
" b - budgeted estimate in US FY21 budget"
"Data Sources for 1900:"
"GDP: ","https://www.measuringworth.org/usgdp/","Samuel H. Williamson, "What Was the U.S. GDP Then?" MeasuringWorth, 2015.",""
"Federal: ","https://www.census.gov/library/publications/1975/compendia/hist_stats_colonial-1970.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: ","https://www.census.gov/library/publications/1975/compendia/hist_stats_colonial-1970.html","Hist. Stats of US, Colonial Times to 1970 and 1789 - 1945",""
""
"Data Sources for 2020:"
"GDP, GO: ","https://usgovernmentspending.blogspot.com/search/label/usgdp","GDP, GO Sources",""
"Federal: ","https://www.govinfo.gov/app/collection/budget/2021/BUDGET-2021-TAB","Fed. Budget: Hist. Tables 3.2, 5.1, 7.1",""
"State and Local: ","https://www.census.gov/programs-surveys/gov-finances.html","State and Local Gov. Finances",""
"","https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported spending forward to future years"
